"","alpha","beta","eps","T1","L","M"
"y1...94",0.166328612538707,2.00669195640285,0.00279,2.2,0.106552926670042,0.0908618279307678
"y1...95",0.146078648798856,1.90087173768489,0.00097,2.3,0.104998850698717,0.0837188419302673
"y1...96",0.0482317276282846,0.555126432584779,0.01508,6,0.414935856011023,0.115226020814953
"y1...97",0.0241668363094082,0.295508737529347,0.00629,12.1,0.909909071739431,0.149612828234486
"y1...98",0.103738787389805,1.29976232013408,5e-05,3.9,0.172558902213388,0.10170488272329
"y1...99",0.0190849711185371,0.21656036653318,0.00829,13.9,1.26840482333716,0.166555261443394
"y1...100",0.199596575093183,2.55193969557653,0.00159,1.7,0.0796956407026136,0.08170246310552
"y1...101",0.103264460620536,1.30719256908649,0.00038,3.8,0.167921657003087,0.0991074483917784
"y1...102",0.161770412820178,2.14709064340559,0.00054,2.1,0.0910707300191239,0.081077852035674
"y1...103",0.128690823800725,1.7702259396365,0.00073,2.6,0.107529590872783,0.0807654116457823
"y1...104",0.0863934743912125,1.34750390974747,0.00023,3.8,0.12977333766227,0.076022033814668
"y1...105",0.146574009349439,1.81565226132224,0.00229,2.5,0.115740319447956,0.0905905961304255
"y1...106",0.166890612613336,2.17441740565015,0.00092,2.1,0.0914201848024792,0.0829648881803475
"y1...107",0.171669554405848,2.13807331450758,0.00073,2,0.0970957783129288,0.085833674484319
"y1...108",0.0984007993310381,1.11753750922156,0.00062,4.6,0.23274746423322,0.122086446937285
"y1...109",0.0830115928934104,1.09540087686982,0.00061,4.8,0.201476013078023,0.100943413293072
"y1...110",0.166090842022777,1.91479604006141,0.00258,2.4,0.117455168851536,0.0980988055473934
"y1...111",0.168344561061924,2.15241462394701,0.00028,2,0.0941992409639626,0.0834074140732589
"y1...112",0.180736516437344,2.03683796244516,0.00045,2.3,0.112654068108694,0.100246498512941
"y1...113",0.113337622657425,1.28011791615519,0.00044,4.1,0.199428880358201,0.11836116333381
"y1...114",0.0681228328434565,0.824476419526312,0.01498,4.4,0.260300180564417,0.0993427298405812
"y1...115",0.111583179860674,1.43474042398138,0.00036,3.7,0.151743400854481,0.0976932463736699
"y1...116",0.13716279866608,1.67596415829886,9e-05,2.9,0.129930536072073,0.0962252706113635
"y1...117",0.121005119515405,1.57462434331712,0.00079,3.1,0.130623643904647,0.0904342763712942
"y1...118",0.0922830521189884,1.10083726842932,0.01561,3.4,0.197154089223648,0.0970276241565261
"y1...119",0.0330676798632257,0.398612837414489,0.01189,8.1,0.568793612378699,0.118913196648443
"y1...120",0.0423074542137751,0.505744272682907,0.01639,6.3,0.425215423652614,0.107436835207335
"y1...121",0.0788464465775646,0.921451384271941,0.00095,5.9,0.305787612761639,0.134712409252693
"y1...122",0.0778581766043464,0.963865337805049,0.0136,3.9,0.219250684689615,0.0957749081972991
"y1...123",0.145914019614154,1.89688647983591,0.00036,2.5,0.10594569059357,0.0861675145399901
"y1...124",0.0966899093452476,1.17550560807878,0.02153,3,0.17915969441855,0.0909030272388555
"y1...125",0.0863098632272603,1.03809099393824,0.01259,3.7,0.209797823351759,0.0986861468237533
"y1...126",0.0450929080206565,0.533186687934053,0.0114,6.6,0.433484161587464,0.1161169268865
"y1...127",0.0284605999372626,0.331518329484921,0.00628,11,0.862368539346856,0.158024132119341
"y1...128",0.0923144468741075,1.01371168443244,0.00147,5.1,0.276953019499959,0.134202998229915
"y1...129",0.18235549136389,2.1848319256032,0.00133,2.1,0.0983475350267955,0.0914261375745513
"y1...130",0.0443703988624847,0.492329450069727,0.01655,6.3,0.468092352645741,0.118054008166052
"y1...131",0.244369382482181,2.93124013373521,0.00342,1.4,0.0748174345600863,0.084979574495389
"y1...132",0.0452357921640628,0.571691703064874,0.0125,6.2,0.374719755848579,0.104576659269857
"y1...133",0.162305902663279,2.00543844355865,3e-05,2.3,0.104576765170378,0.0897047833297362
"y1...134",0.0358024420898312,0.487931907471918,0.01501,6.7,0.391958802650847,0.0930566599472622
"y1...135",0.0900759197937708,1.20488467828866,0.02898,2.7,0.161527107760918,0.0782107144859126
"y1...136",0.0654505538600446,0.809091059483707,0.0034,5.8,0.299118578171627,0.115369093431298
"y1...137",0.0706003413950341,0.960355434741065,0.0019,5,0.220086396370068,0.0969947674929911
"y1...138",0.117853848560946,1.3856279275381,0.00037,3.6,0.17060194858467,0.10765391661073
"y1...139",0.0622229881424781,0.736439647231587,0.01943,4.5,0.292823249040288,0.101197124038897
"y1...140",0.0625079433676663,0.823902851781259,3e-04,6.8,0.305673899208125,0.119028991380474
"y1...141",0.0887149554952388,0.995698177133172,0.01093,4,0.239737278252023,0.111498709835339
"y1...142",0.161158888914779,2.05117883252425,0.00192,2.3,0.0994451811551634,0.0869516896382506
"y1...143",0.0659244955815318,0.828537650779246,0.01309,4.6,0.253920407651547,0.097244109651576
"y1...144",0.0886435492349756,1.11020079166398,0.00098,4.7,0.212716635072099,0.109026758021469
"y1...145",0.0155640768041097,0.205962934563035,0.00683,15.4,1.15061589069942,0.13793870787583
"y1...146",0.139375698349244,1.61453194565042,0.00073,3,0.143275582858151,0.103653676262414
"y1...147",0.0543849480294264,0.721402258717836,0.00277,6.8,0.32729483619743,0.112704994134065
"y1...148",0.217957026718672,2.48069348464755,0.00142,1.8,0.0903695518299975,0.094143402048197
"y1...149",0.0387149422540676,0.504275595290797,0.00145,9.7,0.556960803235633,0.141255816024472
"y1...150",0.146394618340596,1.72907524332136,0.00019,2.9,0.131141743197386,0.100960426421121
"y1...151",0.0588586806705531,0.655343694319166,0.0158,5.2,0.36066269522472,0.11605404441528
"y1...152",0.140091263997404,1.70531216932768,0.00015,2.7,0.12631087252833,0.094199742737987
"y1...153",0.170422295091792,1.90577573870907,0.00033,2.5,0.122578096861158,0.103308463259157
"y1...154",0.0270841869597079,0.339834898492574,0.00549,11.3,0.791779251635062,0.144999247542184
"y1...155",0.125446581754646,1.39309975577476,0.01094,2.8,0.166255082331245,0.102522028379382
"y1...156",0.114547025159542,1.38488283849363,0.00019,3.7,0.167340790801556,0.105223531464819
"y1...157",0.0775951479495831,0.98102013721017,0.00183,5.1,0.237055147659958,0.108212572475571
"y1...158",0.174328918117016,1.98204693164364,0.00128,2.5,0.116435004585825,0.101944100001004
"y1...159",0.0180849182570469,0.22636781777465,0.00766,13.9,1.09005957714511,0.143417951349444
"y1...160",0.0513526222512169,0.636818448889127,0.01425,5.5,0.335833708825176,0.102790751714574
"y1...161",0.0863037974976063,1.12170651616677,0.00023,4.7,0.201798123362936,0.103724425914639
"y1...162",0.0380021345994683,0.5034802252057,0.0099,7.1,0.409771627187096,0.101594257448241
"y1...163",0.0665981755541856,0.83658062910647,0.01679,4.2,0.24592073612426,0.0938072785482489
"y1...164",0.034533197004862,0.390198255799782,0.00677,9.5,0.731981805696494,0.154562967939776
"y1...165",0.0891355941222365,1.00364610062435,0.01943,3.5,0.226069585131254,0.103165756256728
"y1...166",0.0440108286629449,0.522359984424479,0.0041,8.4,0.543684284736985,0.145065903444046
"y1...167",0.0983985230544711,1.18006303020473,0.00078,4.4,0.204526303857141,0.111473608774859
"y1...168",0.0330110498595047,0.385813418171467,0.00605,10,0.740765051133467,0.153662342330868
"y1...169",0.102799030692526,1.34538080507465,0.00104,3.8,0.15811761102397,0.0954279252924459
"y1...170",0.138823410762431,2.01157761292601,0.00165,2.2,0.0898685773777049,0.0736473012627384
"y1...171",0.244487053599641,3.10854232103983,0.00147,1.3,0.0684382139381561,0.0791080107861687
"y1...172",0.144546734155337,1.86771539073051,0.00075,2.5,0.108154068696076,0.0865740826517618
"y1...173",0.0909749624220181,1.10587917630346,0.00023,4.9,0.226962177288905,0.116783065351609
"y1...174",0.13016944503112,1.62094317525925,0.02381,2.2,0.129212648996479,0.0842086299385589
"y1...175",0.0846196259486681,1.04767627634704,0.00017,4.8,0.224517467574326,0.109138984430797
"y1...176",0.0117083176457358,0.124482067481749,0.0109,17.9,1.89473196610189,0.166797835930686
"y1...177",0.03220125193866,0.412368614928157,0.00539,9.6,0.601728382444771,0.128581973950801
"y1...178",0.127308411251478,1.54153481695115,0.00012,3,0.142157792819708,0.0971593970196118
"y1...179",0.078554763534108,0.951570786875351,0.00018,5.9,0.285609448403778,0.128652483384216
"y1...180",0.132519179945455,1.83868164585659,0.00015,2.5,0.102471195059927,0.0793977156502537
"y1...181",0.131079673951805,1.62186658212727,1e-04,2.9,0.131929990331291,0.0941650634050177
"y1...182",0.0371541658001532,0.452364095467847,0.00475,9.3,0.6135910676636,0.143927854406916
"y1...183",0.0752210198267001,0.863170085139907,0.01241,4.4,0.26676708710237,0.108201180730168
"y1...184",0.0503217071056362,0.536366635196574,0.0062,7.5,0.559060901011425,0.156426323632728
"y1...185",0.129654217130733,1.44358901230378,5e-05,3.5,0.173691373037337,0.115042252693172
"y1...186",0.0905332726047514,1.1456476555002,0.00015,4.9,0.210539768490111,0.111158996800493
"y1...187",0.135981176821891,1.61148943941692,0.00048,3.1,0.141582564049695,0.102187300995349
"y1...188",0.181848483562236,2.1007992927571,0.00076,2.2,0.106173348673798,0.0962973748716435
"y1...189",0.187495148006438,2.07190800006718,0.00238,2,0.111489152076134,0.0978451604954927
"y1...190",0.0668004633312789,0.870460044640784,0.01223,4.4,0.231902857644202,0.0917311058395569
"y1...191",0.106027258654157,1.27578530543019,0.00047,4.1,0.185561222364719,0.108437770816726
"y1...192",0.13355313371768,1.66774575143,0.00113,2.8,0.126512927133858,0.0922688597557235
"y1...193",0.096836199829263,1.22441709588287,0.00054,4.5,0.191500302364442,0.107320980766249
"y1...194",0.0775938324187821,0.991396617696043,0.00066,5.3,0.237852144093731,0.109667065259568
"y1...195",0.0243858567908704,0.27084357000669,0.0091,11.5,1.0064716057624,0.158628011289832
"y1...196",0.0787052242787439,0.919575477624985,0.00169,5.8,0.298198765411224,0.131007413682048
"y1...197",0.102051018730843,1.24760650195441,4e-05,4.3,0.192074657947489,0.11001682998148
"y1...198",0.0100452785139374,0.131368933642411,0.00876,19.3,1.56352157031441,0.132240596495223
"y1...199",0.15202617440909,1.81063480158115,0.00242,2.5,0.120570341132703,0.0948889517421695
"y1...200",0.141619906744861,1.77082050915613,0.00039,2.6,0.118043180489111,0.0904934727814886
"y1...201",0.0598714813139919,0.678845321417462,0.01006,5.5,0.358850608477267,0.119620200901988
"y1...202",0.0716627336321762,0.883822091146382,0.01446,4.2,0.240817641962838,0.09772527077799
"y1...203",0.0884045394525066,1.25942322890105,2e-04,4.2,0.157290489667759,0.0883222408516608
"y1...204",0.110953664375943,1.30004504627524,0.00031,4,0.188838067136512,0.112950161882518
"y1...205",0.119704597922722,1.44576984066412,0.00021,3.7,0.162116543462993,0.106342422618568
"y1...206",0.0921186589620898,1.21255981141862,0.00023,4.2,0.17755417787337,0.0974397836568743
"y1...207",0.108979959363249,1.35734974323184,0.00066,3.8,0.16617654762021,0.102101721934841
"y1...208",0.122333590519047,1.53331393266523,0.00046,3.2,0.14032658085705,0.09561569879278
"y1...209",0.100616649928149,1.36130354677929,0.00019,3.7,0.149379592481727,0.0904285588481437
"y1...210",0.147152803756336,1.93778915370113,0.00116,2.3,0.101852013443018,0.082829520923826
"y1...211",0.149608205631254,2.14267832704809,0.00121,2.1,0.0851830734483256,0.0743400203457618
"y1...212",0.169324746707754,1.99286963560234,0.00068,2.3,0.11023330824627,0.0948815184821714
"y1...213",0.0991405042069788,1.12535900519787,0.00169,4.5,0.231809212987664,0.122410498944244
"y1...214",0.0863574191118716,1.01931728406517,4e-04,5,0.25179447196835,0.120831805454613
"y1...215",0.115235228445933,1.41054023932269,0.00013,3.6,0.160791319330131,0.102474799196499
"y1...216",0.0831765263857018,0.865062071676247,0.00497,5.3,0.335229454707174,0.142320831594681
"y1...217",0.128886664278375,1.39600867912995,0.00086,3.5,0.183749736017785,0.118423384912587
"y1...218",0.033130709315702,0.380727061039113,0.01399,8,0.606466601611469,0.123438541082787
"y1...219",0.135500214574827,1.56325280595494,0.00017,3,0.147780398756303,0.103511626346437
"y1...220",0.14413712699834,1.86574805242407,0.00123,2.5,0.108073226990677,0.0863762194293932
"y1...221",0.144139812658504,1.73746028042997,1e-04,2.8,0.126566963585572,0.0970780805891815
"y1...222",0.0533501136615596,0.595213108196703,0.00245,8.1,0.544755279907225,0.16529364855227
"y1...223",0.103868953915739,1.25063037964542,0.02437,2.8,0.169955289654577,0.0906255798631687
"y1...224",0.09355790673652,1.17302167588486,0.00062,4.4,0.194827974356295,0.104671376454138
"y1...225",0.0459220405694234,0.558343668030073,0.01551,5.9,0.384692172951081,0.105443227205116
"y1...226",0.0264793935537097,0.319182043284401,0.00511,11.9,0.909022424650943,0.16003517531645
"y1...227",0.0215873840929168,0.275750579475249,0.00705,12.3,0.887821364739056,0.13602773936345
"y1...228",0.0970740344336392,1.1500859922607,0.00071,4.8,0.222475861112156,0.119151910482555
"y1...229",0.0835068255196578,0.96682517710846,0.00123,5.2,0.273923813462153,0.125848177949808
"y1...230",0.0172112793720877,0.206122457394932,0.00896,14,1.17967517736814,0.146098565846269
"y1...231",0.0527358633122953,0.614535794402383,0.00328,7.6,0.466659782767975,0.143832553589396
"y1...232",0.020652023775619,0.233628534925889,0.00894,12.9,1.14873781791046,0.160153035775798
"y1...233",0.111390910278603,1.38825956929169,6e-05,3.8,0.163215370320032,0.102508844883628
"y1...234",0.108668225486081,1.51951213735316,0.00012,3.4,0.127948731757392,0.0852860455441632
"y1...235",0.123795568903468,1.45363881066855,0.01532,2.6,0.150467071370574,0.0937787572951978
"y1...236",0.0532393138564708,0.649173697558921,0.00885,5.9,0.353325626801524,0.111599802531153
"y1...237",0.0860424889649276,0.924621108223418,0.00329,5.3,0.309566435926969,0.138676217323841
"y1...238",0.0477244922237819,0.554282240572323,0.0051,7.7,0.502623439999095,0.141660508290059
"y1...239",0.0876285425976086,1.11065186529456,0.00043,4.9,0.21466236942916,0.110036101173361
"y1...240",0.126142016616575,1.43532301874639,0.00061,3.4,0.168099134319482,0.10995259364046
"y1...241",0.0493062447680865,0.577200212267132,0.00258,8.1,0.513600762112437,0.149929922346172
"y1...242",0.0653296911545223,0.749461088886579,0.01184,4.9,0.311903534799924,0.112315815019349
"y1...243",0.148621346160112,1.68402192492223,0.00017,2.7,0.137265761078333,0.102556783305773
"y1...244",0.0430292434430036,0.59033767883024,0.01774,5.5,0.315405673873157,0.0869802296921421
"y1...245",0.0895052547896485,1.03654361595838,7e-05,5.2,0.262144909917741,0.12845723916785
"y1...246",0.20361201514033,2.06388686273517,0.00126,2.1,0.121447623326949,0.109996474030434
