"","lambda","eps","T2","L","M"
"time...480",0.0414845676203988,0.32368,41.7,57.8654782316037,29.4874746702394
"time...481",0.0426331469554227,0.49984,83,75057.3755312595,37652.7982875572
"time...482",0.0403439177880088,0.06978,40.5,23.7987663960581,12.2932208905509
"time...483",0.0398251444947835,0.1771,36.8,12.0551014459986,6.27915443523068
"time...484",0.0393019554474442,0.32017,41.3,15.7914824171449,8.28446991581006
"time...485",0.0414211168420681,0.29348,50.9,191.735514500166,97.6326477507313
"time...486",0.0409761421499899,0.16474,36.5,19.1801093770042,9.82329462734687
"time...487",0.0384877362901533,0.46578,46.9,20.5808682037895,10.9406504212062
"time...488",0.0413923242004472,0.27515,46.2,97.244341938176,49.5488643862575
"time...489",0.042590652474002,0.49519,82.4,68169.534458655,34228.6443118554
"time...490",0.0412916290582702,0.23569,53.8,291.349688214768,148.783227929954
"time...491",0.0404832642476934,0.06677,34.8,12.3856055726517,6.38942669454919
"time...492",0.0406194895991991,0.06868,38.9,23.9174764924534,12.3240111737427
"time...493",0.0394204184551138,0.28999,44.9,27.0521519316825,14.175782847161
"time...494",0.0406750864046981,0.06756,39.1,24.581186581975,12.6500901528211
"time...495",0.0404666264127054,0.0514,39.6,23.5504144280009,12.1536683494229
"time...496",0.0400187996564445,0.14233,32,7.1374602460409,3.70766920799537
"time...497",0.0387511623160494,0.32927,67.1,228.739271949066,121.010038716596
"time...498",0.0409288958157423,0.1235,36.9,20.2744614628039,10.3947850357643
"time...499",0.0407066809541481,0.0748,38.4,22.3440505224198,11.4906013800335
"time...500",0.0394485426837043,0.28314,41.9,18.7364660241168,9.81176517364079
"time...501",0.0397211623149103,0.20776,36.4,10.4512124587195,5.44748168670749
"time...502",0.0411785818044719,0.19828,49,125.73141817151,64.234376676301
"time...503",0.0395420367758563,0.24985,38.7,12.6625386148378,6.61655026928672
"time...504",0.0408668705007281,0.14816,35.7,17.1576283763856,8.80903486139227
"time...505",0.0408200126924643,0.1063,37.5,22.0323589876178,11.323734498693
"time...506",0.0407363721803793,0.08551,41.2,32.7369411098438,16.8239508635147
"time...507",0.0408310227692774,0.13399,33.1,11.953212200429,6.1419427127754
"time...508",0.041291236997789,0.2724,40.9,45.2160182591211,23.0906154977142
"time...509",0.0392226257943937,0.33506,42.5,18.2468699253359,9.59048183373191
"time...510",0.0393009637303529,0.30447,44.5,23.2075550406655,12.1753465232263
