"","G","r","eps","T2","L","M"
"mu...839",62.682112094429,31.2211411794525,0.07088,37.9,17.2761874711555,8.91015861191703
"mu...840",62.7676515025237,31.0808941306991,0.04528,37.3,15.9613091240064,8.22079477127937
"mu...841",62.7568850430877,31.2438161290701,0.04885,39.1,20.2398216120761,10.4262107966017
"mu...842",62.7477809817776,31.3108913069735,0.05167,35.9,13.2693586979489,6.83648275268535
"mu...843",62.7148125530769,30.8447491506632,0.03685,42.2,30.4672704448737,15.7052400955036
"mu...844",62.7364344833702,31.042764139523,0.0536,36.8,14.942353823208,7.6998163068147
"mu...845",62.7372370205748,31.0236057969005,0.0409,43.4,35.6937624661537,18.3928123735754
"mu...846",62.7579053340318,31.3238429453197,0.03953,39.9,22.4929220874108,11.5866691230421
"mu...847",62.7497930774471,31.2849943673443,0.03625,43,33.8588914795663,17.4438209812187
"mu...848",62.7129450334206,31.2212694142451,0.03401,46.1,50.9682354504804,26.2738419149185
"mu...849",62.6808453277385,31.1077787855192,0.05555,37,15.3418879805085,7.91270847314997
"mu...850",62.7780305077666,30.7497398082724,0.04006,42.7,32.5449072801318,16.759326258509
"mu...851",62.7809473515295,30.7764426653219,0.03928,42.7,32.544907383906,16.7585466313261
"mu...852",62.737006068307,31.1429651527495,0.05724,34.8,11.4768061501934,5.91396052636276
"mu...853",62.8381546588457,31.0853205153854,0.05336,37.6,16.6057391467489,8.54310897237901
"mu...854",62.7017972578056,30.570102574663,0.04009,43.9,38.1278073963812,19.6581656326023
"mu...855",62.7105335915422,31.0705105869785,0.04622,37.5,16.3880885843006,8.44829383757563
"mu...856",62.7275233757589,31.7491547981239,0.05273,35.6,12.7544057887427,6.57329735712349
"mu...857",62.6678293910037,30.9742949302767,0.05485,36.1,13.6241595022221,7.02823487793997
"mu...858",62.823075139751,30.9857093706522,0.0475,36.5,14.3624761851331,7.39079748104637
"mu...859",62.6654391713549,30.4987708546062,0.04852,38.1,17.7381243823929,9.15083675416666
"mu...860",62.6570857124593,30.8554731470554,0.03582,42.1,30.0679378063191,15.5136745747091
"mu...861",62.6910471107074,31.0305737727729,0.05107,37.8,17.0497492960947,8.79212134864621
"mu...862",62.7519764255834,31.2437307895533,0.05516,34.4,10.8868300326046,5.60860983542341
