"","lambda","eps","T4","L","M"
"time...642",0.0398790452124743,0.01079,53,94.0246550472623,48.9137274378373
"time...643",0.0404274625307809,0.01087,49.8,91.0419965015389,47.025933110101
"time...644",0.0408616248293943,0.01111,47.6,89.6892738017695,46.0535188133819
"time...645",0.0401218418517363,0.01101,51.8,90.7720961680323,47.0414938171141
"time...646",0.0418236134925787,0.01083,43.8,89.5243669889745,45.3820719596645
"time...647",0.0396587128946784,0.01086,54,93.6184075125857,48.8675316643103
"time...648",0.0402960533703533,0.0108,50.9,93.3759109469122,48.285924043098
"time...649",0.041049575419949,0.01109,46.6,89.4632679090449,45.837298351197
"time...650",0.0412021647429037,0.01098,46.7,90.7758027130191,46.3516970973624
"time...651",0.0410864643680948,0.01064,46.9,93.3562302497734,47.7924792278591
"time...652",0.0417737432566729,0.01082,43.8,89.5044856739495,45.4215845312809
"time...653",0.0400257596628791,0.01098,51.8,90.7777323825863,47.1484113081877
"time...654",0.0408028043314418,0.01088,48.8,91.060332376459,46.7271031580843
"time...655",0.0405889264989874,0.01092,49.8,91.0520391175449,46.8590361482996
"time...656",0.0404900580153726,0.01089,49.8,91.0458900115242,46.9610700712022
"time...657",0.0393045306930129,0.01106,56,92.5805529751098,48.5663328052031
"time...658",0.0403294897966461,0.01081,50.9,93.375943359444,48.2491036060987
"time...659",0.0396902561931449,0.01101,53.9,91.3089455677613,47.6270927704663
"time...660",0.0395247164319092,0.01084,55.1,94.2693390467243,49.2784243679185
"time...661",0.0409066562989613,0.01097,47.7,90.9526233187481,46.655001790709
"time...662",0.041200746013444,0.01067,46.9,93.3840838566395,47.6850421422135
"time...663",0.0407963665373999,0.01073,48.9,93.577632084884,48.0258013907838
"time...664",0.0396819303551558,0.01087,54,93.6139792152451,48.838863916849
"time...665",0.0412012406659562,0.01067,46.9,93.3842041476345,47.6845776022731
"time...666",0.0412434341794841,0.01099,46.7,90.785587030643,46.3141307916211
"time...667",0.0407542907113496,0.01072,48.9,93.572402121491,48.0686745692957
"time...668",0.042549017082332,0.01081,40.9,90.0362322352425,45.248539207186
"time...669",0.0390333299255299,0.01062,57.4,95.3243349325054,50.2463709037575
"time...670",0.0393257953979895,0.0112,55.9,90.3728438933326,47.384538267438
"time...671",0.0403240891408226,0.01095,50.8,90.9531907971456,47.0030093655658
"time...672",0.0400446707341755,0.01113,51.7,90.776622504036,47.1273228139143
"time...673",0.0391119422168559,0.01065,57.4,95.293000017668,50.13656555434
"time...674",0.0415404393075842,0.01064,44.9,92.7244482765515,47.1928988627971
"time...675",0.0401314182181562,0.01116,51.7,90.7715335269963,47.0308685351235
"time...676",0.0405282533290363,0.0109,49.8,91.0482648864538,46.9215863481185
"time...677",0.0395744961547937,0.01099,55,93.1097778538402,48.6157843825557
"time...678",0.0401279871300409,0.0113,51.6,89.6075693701953,46.4314486338675
"time...679",0.0415424838556205,0.01064,44.9,92.7251796484813,47.1911446025065
"time...680",0.0401210932122132,0.01101,51.8,90.7721395524056,47.04232860886
"time...681",0.0405444700504411,0.01076,49.9,93.5201023228493,48.1777231699017
"time...682",0.041775236911351,0.01082,43.8,89.5050815945812,45.4204012414439
"time...683",0.0418196748793636,0.01083,43.8,89.5227971933899,45.3851936503985
"time...684",0.0407425311415574,0.01101,48.7,91.0530041708544,46.786850970906
"time...685",0.0410403790284845,0.01078,46.8,90.7374503417364,46.4997013074246
