"","alpha","beta","eps","T2","L","M"
"time...424",0.102343050251025,1.13491320290191,0.05642,32.9,16.255599208,8.75339124149856
"time...425",0.105139985015508,1.32728146955394,0.04138,39.9,19.3140379984636,11.7366531431128
"time...426",0.13546845250836,1.56997607106152,0.05946,38.8,27.9297415600734,20.0993222302726
"time...427",0.0282024433919019,0.361036546863915,0.04231,52,55.7381104862661,10.7155425689396
"time...428",0.0285523112661002,0.371337015576866,0.03894,49.7,40.7221916464185,7.98115522620888
"time...429",0.133177305701848,1.71344750444104,0.05131,40.4,16.8419220159014,12.9456529372327
"time...430",0.0715432980185204,0.897497220060223,0.04141,39,18.8527578918914,8.02655972697925
"time...431",0.170135976549177,2.07791731620732,0.04462,40.8,23.603261423701,21.9147213003997
"time...432",0.0263852049231569,0.286685391422356,0.04828,36.7,19.6501644334141,3.28229758241505
"time...433",0.122116283722177,1.41297706544878,0.04123,39.3,31.0846208682483,20.2979447686459
"time...434",0.0692633010849902,0.794245983639563,0.03495,37.3,25.2234264496089,9.80438079212941
"time...435",0.0821643208456208,0.972505150023632,0.05359,38.6,25.2622825178842,11.6891747066068
"time...436",0.0861605570392042,0.999892371154939,0.0533,32.2,11.643231332923,5.54459705946956
"time...437",0.0437552065760675,0.496388225527895,0.04785,37.3,23.5975747445346,6.12123949703331
"time...438",0.0540867004229482,0.616533713207441,0.04615,36.9,23.5072198534044,7.33229975997855
"time...439",0.229816545543734,2.76878739525232,0.03574,40,20.2555049472961,24.74974052833
"time...440",0.11377589877802,1.29059978273426,0.0207,51.5,218.280114160198,131.596612495352
"time...441",0.0789186155667853,0.975582981092491,0.04902,39.4,21.5823699725888,9.93379752090442
"time...442",0.146973095672439,1.76038689625343,0.06187,37.6,18.192109978223,14.4920688062635
"time...443",0.189832804984535,2.05513582660956,0.0287,40,50.7993395509305,47.4949631759356
"time...444",0.129042214062188,1.54759043418889,0.03721,41.2,31.3310459171865,22.1289494106461
"time...445",0.158063697794057,1.7645111892079,0.04837,37.7,29.5904578667292,23.8778376283106
"time...446",0.11870677079466,1.47856333207701,0.06046,35.1,10.6993052337996,7.20076425262785
"time...447",0.154244203685643,1.97674049777402,0.06164,36.7,9.92639454855274,8.73424964062623
"time...448",0.127325353539174,1.39890126419847,0.03958,35.4,24.3200209012964,15.8732002036346
