"","G","r","eps","T3","L","M"
"mu...148",62.7346817776289,31.0775494876562,0.00162,6,0.257077216118312,0.132319527381015
"mu...149",62.6540196579336,30.6858606697016,0.00162,6,0.257077234307053,0.132489874701087
"mu...150",62.7783369141676,30.9705748140997,0.00162,6,0.257077216423304,0.132227514400555
"mu...151",62.7078347024032,31.2106862450345,0.00162,6,0.257077207633586,0.132376179381968
"mu...152",62.698503532499,31.688617126806,0.00161,6,0.257077218841113,0.132395877962804
"mu...153",62.6612211391273,30.921901792285,0.00162,6,0.257077225349421,0.132474649516017
"mu...154",62.7603740476978,30.8454037298428,0.00162,6,0.257077211538786,0.132265360836537
"mu...155",62.665491340134,30.7890341592449,0.00162,6,0.257077211793062,0.132465625760164
"mu...156",62.7649821628566,30.5773785181915,0.00162,6,0.257077204556985,0.132255651506442
"mu...157",62.7922899531189,30.8397551354125,0.00162,6,0.257077220331275,0.132198131310996
"mu...158",62.7402933293341,31.3093082329286,0.00161,6,0.257077225797456,0.132307690571985
"mu...159",62.7850062290935,31.4296800300361,0.00161,6,0.257077220675158,0.132213467546879
"mu...160",62.7350928286472,30.9516541368375,0.00162,6,0.257077214927548,0.132318660589914
"mu...161",62.6873395584141,31.2543301116073,0.00153,6.1,0.260454003423967,0.134180665752521
"mu...162",62.7580165129,30.8878716648525,0.00162,6,0.257077216275285,0.132270328272
"mu...163",62.6883573653108,30.6766838072488,0.00162,6,0.257077205816702,0.132417309059076
"mu...164",62.74165890615,31.4734662318357,0.00161,6,0.257077217851273,0.132304812503013
"mu...165",62.8431492347234,31.8597931684822,0.00161,6,0.257077210700859,0.132091144722148
"mu...166",62.6825083360291,31.2698219593727,0.00153,6.1,0.260454033018176,0.134191001142988
