"","x"
"1566",10.5
"1567",11.9
"1568",46.9
"1569",10.8
"1570",46.4
"1571",23.8
"1572",5.3
"1573",51.6
"1574",52.9
"1575",23.2
"1576",24.8
"1577",6.1
"1578",57.7
"1579",31.6
"1580",14.3
"1581",24.5
"1582",16.7
"1583",3.7
"1584",5.5
"1585",5.5
"1586",19.3
"1587",18.9
"1588",21.8
"1589",14.2
"1590",134.8
"1591",12.7
"1592",22.3
"1593",9
"1594",28.7
"1595",27.6
"1596",4.9
"1597",17.3
"1598",35.5
"1599",15.8
"1600",11
"1601",14.2
"1602",44.6
"1603",28.7
"1604",21.3
"1605",11.2
"1606",41.8
"1607",61.1
"1608",33.2
"1609",23.2
"1610",3.1
"1611",8.3
"1612",12.5
"1613",36.9
"1614",35.3
"1615",8.3
"1616",51.2
"1617",28.1
"1618",41.6
"1619",17.9
"1620",140
"1621",15.1
"1622",35.2
"1623",17.3
"1624",35
"1625",6.7
"1626",72
"1627",11.8
"1628",17.6
"1629",25.3
"1630",1.3
"1631",51.6
"1632",5.6
"1633",23.5
"1634",179.5
"1635",24.6
"1636",23.9
"1637",111.4
"1638",3.4
"1639",10.7
"1640",7.6
"1641",31.8
"1642",17.3
"1643",11.7
"1644",11.4
"1645",29.2
"1646",19.5
"1647",72.3
"1648",68.1
"1649",6.1
"1650",7.7
"1651",17.3
"1652",2.4
"1653",19.8
"1654",46.9
"1655",2.9
"1656",17.5
"1657",40.4
"1658",6.1
"1659",15.4
"1660",5.2
"1661",17.9
"1662",27.4
"1663",57.9
"1664",10.3
"1665",12.3
"1666",55.2
"1667",35.1
"1668",35.8
"1669",82
"1670",24.7
"1671",24.5
"1672",22.1
"1673",5.1
"1674",41.2
"1675",24.6
"1676",90.2
"1677",35.4
"1678",32.5
"1679",49.8
"1680",48.8
"1681",14.5
"1682",106
"1683",19.5
"1684",15.1
"1685",9.6
"1686",18
"1687",50.7
"1688",6.3
"1689",21.6
"1690",15.6
"1691",18.7
"1692",41.8
"1693",5.3
"1694",28.8
"1695",73.3
"1696",3.9
"1697",155.6
"1698",40
"1699",5
"1700",73.6
"1701",18.9
"1702",4.1
"1703",27.7
"1704",28.3
"1705",26.9
"1706",35.1
"1707",2.6
"1708",129
"1709",18.1
"1710",13.9
"1711",35.5
"1712",9.3
"1713",6.7
"1714",33.8
"1715",34.9
"1716",6.9
"1717",84.5
"1718",21.4
"1719",2.2
"1720",11.4
"1721",20.8
"1722",39.7
"1723",10.9
"1724",101.1
"1725",23.5
"1726",6.5
"1727",23.3
"1728",24.3
"1729",41.1
"1730",28.3
"1731",41.2
"1732",63.3
"1733",21
"1734",52.1
"1735",102.4
"1736",23.5
"1737",19.7
"1738",33.4
"1739",58.1
"1740",60.3
"1741",103.7
"1742",15.4
"1743",21.2
"1744",5.6
"1745",1.8
"1746",16.3
"1747",20.1
"1748",2.3
"1749",55.2
"1750",27.5
"1751",17.9
"1752",3.8
"1753",4.7
"1754",67.5
"1755",34
"1756",3.7
"1757",65.5
"1758",33.1
"1759",87
"1760",28
"1761",9.6
"1762",14.1
"1763",18.1
"1764",24.9
"1765",19.3
"1766",77.1
"1767",10.3
"1768",16.2
"1769",25.7
"1770",8.2
"1771",29.7
"1772",28
"1773",19.1
"1774",105
"1775",63.8
"1776",14.5
"1777",6.1
"1778",107.8
"1779",18.2
"1780",15.9
"1781",34.8
"1782",35.9
"1783",8.5
"1784",13.3
"1785",35.4
"1786",6.5
"1787",26.2
"1788",15.6
"1789",16.4
"1790",35.6
"1791",21.9
"1792",43
"1793",6.5
"1794",7.9
"1795",15.6
"1796",22.7
"1797",2.2
"1798",32
"1799",70.8
"1800",8.4
"1801",105.9
"1802",55.2
"1803",52.6
"1804",2.1
"1805",5.4
"1806",14.8
"1807",3.1
"1808",6.9
"1809",5.7
"1810",46.2
"1811",61.9
"1812",40.9
"1813",85.7
"1814",5
"1815",23.1
"1816",26.4
"1817",15.3
"1818",35.4
"1819",3.1
"1820",15.7
"1821",2.2
"1822",11.9
"1823",16.1
"1824",34.8
"1825",19.4
"1826",163.4
"1827",37.6
"1828",13.3
"1829",32.3
"1830",39.8
"1831",5.9
"1832",36.4
"1833",71.7
"1834",4.8
"1835",50.3
"1836",33.3
"1837",8.9
"1838",20.3
"1839",4.7
"1840",1.9
"1841",6.9
"1842",6.1
"1843",50.4
"1844",18.3
"1845",58.3
"1846",40.2
"1847",64
"1848",6.6
"1849",28.2
"1850",6
"1851",4
"1852",52.6
"1853",27
"1854",8.6
"1855",23
"1856",17.9
"1857",6.3
"1858",5.6
"1859",22.6
"1860",18.7
"1861",1.2
"1862",24.7
"1863",17.6
"1864",25.6
"1865",28.5
"1866",15
"1867",7.4
"1868",42.7
"1869",71.7
"1870",12.6
"1871",28.1
"1872",53.2
"1873",6.5
"1874",7.6
"1875",41.3
"1876",11.8
"1877",43.4
"1878",34.6
"1879",38.6
"1880",7.7
"1881",26.3
"1882",10.8
"1883",87
"1884",95.2
"1885",69.9
"1886",77.1
"1887",1.4
"1888",45.6
"1889",34.9
"1890",5.9
"1891",23.3
"1892",110
"1893",9
"1894",13.3
"1895",26
"1896",2.8
"1897",24.8
"1898",9.1
"1899",33.7
"1900",6.7
"1901",12.6
"1902",22.7
"1903",5.3
"1904",16.7
"1905",18.6
"1906",19.5
"1907",14
"1908",11
"1909",36.2
"1910",61.4
"1911",5.9
"1912",33.4
"1913",59.3
"1914",134.7
